0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:30:07 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:30:07 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:30:09 +0900] "GET /Hospital_Reservation/view/inputForm.jsp HTTP/1.1" 200 7244
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:30:09 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:30:09 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:30:16 +0900] "GET /Hospital_Reservation/view/confirmId.jsp?id=kbssm HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:30:20 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3677
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:30:20 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:30:20 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:33:49 +0900] "GET /Hospital_Reservation/view/doctorPro.jsp HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:33:50 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:33:50 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:34:52 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:34:53 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:34:53 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:34:53 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:34:53 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:34:59 +0900] "GET /Hospital_Reservation/view/doctorPro.jsp HTTP/1.1" 200 103
